dia	mes	ano	chuva
8	7	2019	0.0
7	7	2019	0.0
6	7	2019	0.0
5	7	2019	0.0
4	7	2019	0.0
3	7	2019	0.0
2	7	2019	0.0
1	7	2019	0.0
30	6	2019	1.0
29	6	2019	18.5
28	6	2019	0.0
27	6	2019	0.0
26	6	2019	0.0
25	6	2019	0.0
24	6	2019	0.0
23	6	2019	0.0
22	6	2019	0.6
21	6	2019	0.0
20	6	2019	0.0
19	6	2019	0.0
18	6	2019	3.7
17	6	2019	0.0
16	6	2019	1.5
15	6	2019	1.9
14	6	2019	1.5
13	6	2019	9.8
12	6	2019	8.1
11	6	2019	0.0
10	6	2019	0.0
9	6	2019	0.0
8	6	2019	0.0
7	6	2019	0.0
6	6	2019	0.0
5	6	2019	0.0
4	6	2019	1.5
3	6	2019	0.0
2	6	2019	0.0
1	6	2019	0.0
31	5	2019	0.0
30	5	2019	0.0
29	5	2019	0.0
28	5	2019	0.0
27	5	2019	0.0
26	5	2019	0.0
25	5	2019	0.0
24	5	2019	0.0
23	5	2019	0.0
22	5	2019	0.0
21	5	2019	0.0
20	5	2019	0.0
19	5	2019	0.0
18	5	2019	0.0
17	5	2019	0.0
16	5	2019	0.0
15	5	2019	0.0
14	5	2019	0.0
13	5	2019	0.0
12	5	2019	0.0
11	5	2019	0.0
10	5	2019	0.0
9	5	2019	0.0
8	5	2019	0.0
7	5	2019	0.0
6	5	2019	2.4
5	5	2019	0.0
4	5	2019	1.5
3	5	2019	0.7
2	5	2019	0.0
1	5	2019	1.3
30	4	2019	0.0
29	4	2019	0.0
28	4	2019	0.0
27	4	2019	13.1
26	4	2019	3.6
25	4	2019	0.7
24	4	2019	0.0
23	4	2019	0.0
22	4	2019	0.0
21	4	2019	0.0
20	4	2019	0.0
19	4	2019	3.9
18	4	2019	0.0
17	4	2019	0.0
16	4	2019	0.0
15	4	2019	12.7
14	4	2019	0.0
13	4	2019	0.0
12	4	2019	0.0
11	4	2019	33.3
10	4	2019	0.0
9	4	2019	0.0
8	4	2019	0.0
7	4	2019	1.0
6	4	2019	0.0
5	4	2019	0.0
4	4	2019	0.0
3	4	2019	0.0
2	4	2019	0.0
1	4	2019	0.0
31	3	2019	0.0
30	3	2019	0.0
29	3	2019	13.0
28	3	2019	0.0
27	3	2019	0.0
26	3	2019	5.4
25	3	2019	36.1
24	3	2019	0.0
23	3	2019	16.3
22	3	2019	12.6
21	3	2019	21.0
20	3	2019	0.0
19	3	2019	0.0
18	3	2019	0.0
17	3	2019	0.0
16	3	2019	0.0
15	3	2019	0.0
14	3	2019	0.0
13	3	2019	0.0
12	3	2019	0.0
11	3	2019	0.0
10	3	2019	0.0
9	3	2019	0.0
8	3	2019	0.0
7	3	2019	0.0
6	3	2019	0.0
5	3	2019	0.0
4	3	2019	0.0
3	3	2019	0.0
2	3	2019	0.0
1	3	2019	0.0
28	2	2019	0.0
27	2	2019	0.0
26	2	2019	0.0
25	2	2019	0.0
24	2	2019	0.0
23	2	2019	0.0
22	2	2019	0.0
21	2	2019	0.0
20	2	2019	0.0
19	2	2019	0.0
18	2	2019	15.0
17	2	2019	0.0
16	2	2019	0.0
15	2	2019	0.0
14	2	2019	0.0
13	2	2019	0.0
12	2	2019	0.0
11	2	2019	0.0
10	2	2019	0.0
9	2	2019	0.0
8	2	2019	0.0
7	2	2019	0.0
6	2	2019	0.0
5	2	2019	0.0
4	2	2019	0.0
3	2	2019	0.0
2	2	2019	0.0
1	2	2019	0.0
31	1	2019	0.0
30	1	2019	9.0
29	1	2019	0.0
28	1	2019	4.5
27	1	2019	0.0
26	1	2019	0.0
25	1	2019	0.0
24	1	2019	0.0
23	1	2019	0.0
22	1	2019	0.0
21	1	2019	0.0
20	1	2019	0.0
19	1	2019	0.0
18	1	2019	0.0
17	1	2019	0.0
16	1	2019	0.0
15	1	2019	0.0
14	1	2019	0.0
13	1	2019	0.0
12	1	2019	0.0
11	1	2019	0.0
10	1	2019	0.0
9	1	2019	0.0
8	1	2019	0.0
7	1	2019	0.0
6	1	2019	2.0
5	1	2019	0.0
4	1	2019	0.0
3	1	2019	0.0
2	1	2019	0.0
1	1	2019	0.0
31	12	2018	0.0
30	12	2018	0.0
29	12	2018	0.0
28	12	2018	0.0
27	12	2018	0.0
26	12	2018	0.0
25	12	2018	0.0
24	12	2018	0.0
23	12	2018	0.0
22	12	2018	0.0
21	12	2018	0.0
20	12	2018	0.0
19	12	2018	0.0
18	12	2018	0.0
17	12	2018	2.1
16	12	2018	0.0
15	12	2018	0.0
14	12	2018	0.0
13	12	2018	0.0
12	12	2018	45.0
11	12	2018	3.0
10	12	2018	0.9
9	12	2018	47.8
8	12	2018	0.0
7	12	2018	7.5
6	12	2018	0.0
5	12	2018	8.0
4	12	2018	20.0
3	12	2018	35.2
2	12	2018	29.0
1	12	2018	
30	11	2018	0.0
29	11	2018	0.0
28	11	2018	4.6
27	11	2018	11.9
26	11	2018	0.0
25	11	2018	0.0
24	11	2018	0.0
23	11	2018	0.0
22	11	2018	0.0
21	11	2018	0.0
20	11	2018	0.0
19	11	2018	0.0
18	11	2018	0.0
17	11	2018	9.0
16	11	2018	0.0
15	11	2018	0.0
14	11	2018	32.0
13	11	2018	0.0
12	11	2018	1.6
11	11	2018	60.3
10	11	2018	0.0
9	11	2018	51.0
8	11	2018	5.0
7	11	2018	30.0
6	11	2018	0.0
5	11	2018	0.0
4	11	2018	0.0
3	11	2018	0.0
2	11	2018	0.0
1	11	2018	15.0
31	10	2018	0.0
30	10	2018	0.0
29	10	2018	0.0
28	10	2018	0.0
27	10	2018	0.0
26	10	2018	0.0
25	10	2018	0.0
24	10	2018	0.0
23	10	2018	8.0
22	10	2018	11.0
21	10	2018	9.7
20	10	2018	0.0
19	10	2018	0.0
18	10	2018	0.0
17	10	2018	0.0
16	10	2018	0.0
15	10	2018	0.0
14	10	2018	0.0
13	10	2018	0.0
12	10	2018	0.0
11	10	2018	0.0
10	10	2018	0.0
9	10	2018	0.0
8	10	2018	0.0
7	10	2018	0.0
6	10	2018	0.0
5	10	2018	0.0
4	10	2018	0.0
3	10	2018	0.0
2	10	2018	0.0
1	10	2018	0.0
30	9	2018	0.0
29	9	2018	0.0
28	9	2018	0.0
27	9	2018	0.0
26	9	2018	0.0
25	9	2018	0.0
24	9	2018	0.0
23	9	2018	0.0
22	9	2018	0.0
21	9	2018	0.0
20	9	2018	0.0
19	9	2018	0.0
18	9	2018	0.0
17	9	2018	0.0
16	9	2018	0.0
15	9	2018	0.0
14	9	2018	0.0
13	9	2018	0.0
12	9	2018	0.0
11	9	2018	0.0
10	9	2018	0.0
9	9	2018	0.0
8	9	2018	0.0
7	9	2018	0.0
6	9	2018	0.0
5	9	2018	0.0
4	9	2018	0.0
3	9	2018	0.0
2	9	2018	0.0
1	9	2018	0.0
31	8	2018	0.0
30	8	2018	16.9
29	8	2018	0.0
28	8	2018	0.0
27	8	2018	0.0
26	8	2018	0.0
25	8	2018	0.0
24	8	2018	0.0
23	8	2018	0.0
22	8	2018	0.0
21	8	2018	0.0
20	8	2018	0.0
19	8	2018	0.0
18	8	2018	0.0
17	8	2018	0.0
16	8	2018	0.0
15	8	2018	0.0
14	8	2018	0.0
13	8	2018	0.0
12	8	2018	0.0
11	8	2018	0.0
10	8	2018	0.0
9	8	2018	0.0
8	8	2018	0.0
7	8	2018	0.0
6	8	2018	0.0
5	8	2018	0.0
4	8	2018	0.0
3	8	2018	0.0
2	8	2018	0.0
1	8	2018	0.0
31	7	2018	0.0
30	7	2018	0.0
29	7	2018	0.0
28	7	2018	0.0
27	7	2018	0.0
26	7	2018	0.0
25	7	2018	0.0
24	7	2018	0.0
23	7	2018	0.0
22	7	2018	0.0
21	7	2018	1.8
20	7	2018	0.9
19	7	2018	4.5
18	7	2018	0.0
17	7	2018	3.3
16	7	2018	0.0
15	7	2018	0.0
14	7	2018	0.0
13	7	2018	0.0
12	7	2018	0.0
11	7	2018	0.0
10	7	2018	0.0
9	7	2018	0.0
8	7	2018	0.0
7	7	2018	0.0
6	7	2018	0.0
5	7	2018	0.0
4	7	2018	0.0
3	7	2018	2.3
2	7	2018	2.0
1	7	2018	0.0
30	6	2018	11.0
29	6	2018	0.0
28	6	2018	0.0
27	6	2018	0.0
26	6	2018	0.0
25	6	2018	5.6
24	6	2018	0.0
23	6	2018	0.0
22	6	2018	0.0
21	6	2018	3.5
20	6	2018	4.9
19	6	2018	0.0
18	6	2018	0.0
17	6	2018	0.0
16	6	2018	0.0
15	6	2018	0.0
14	6	2018	0.0
13	6	2018	0.0
12	6	2018	7.6
11	6	2018	12.6
10	6	2018	0.0
9	6	2018	0.0
8	6	2018	0.0
7	6	2018	0.0
6	6	2018	1.5
5	6	2018	2.5
4	6	2018	0.8
3	6	2018	4.8
2	6	2018	0.0
1	6	2018	6.5
31	5	2018	0.0
30	5	2018	0.0
29	5	2018	4.1
28	5	2018	0.0
27	5	2018	0.0
26	5	2018	0.0
25	5	2018	5.7
24	5	2018	27.4
23	5	2018	11.1
22	5	2018	0.0
21	5	2018	0.0
20	5	2018	0.0
19	5	2018	0.0
18	5	2018	0.0
17	5	2018	0.0
16	5	2018	29.0
15	5	2018	0.0
14	5	2018	0.0
13	5	2018	0.0
12	5	2018	0.0
11	5	2018	0.0
10	5	2018	0.0
9	5	2018	0.0
8	5	2018	0.0
7	5	2018	0.0
6	5	2018	0.0
5	5	2018	0.0
4	5	2018	0.0
3	5	2018	0.0
2	5	2018	0.0
1	5	2018	0.0
30	4	2018	0.0
29	4	2018	0.0
28	4	2018	0.0
27	4	2018	3.7
26	4	2018	0.0
25	4	2018	0.0
24	4	2018	5.2
23	4	2018	0.0
22	4	2018	0.0
21	4	2018	0.0
20	4	2018	0.0
19	4	2018	0.0
18	4	2018	0.0
17	4	2018	9.4
16	4	2018	0.0
15	4	2018	6.8
14	4	2018	13.5
13	4	2018	18.5
12	4	2018	2.5
11	4	2018	0.9
10	4	2018	10.1
9	4	2018	0.0
8	4	2018	0.0
7	4	2018	0.0
6	4	2018	0.0
5	4	2018	0.0
4	4	2018	0.0
3	4	2018	0.0
2	4	2018	0.0
1	4	2018	1.7
31	3	2018	2.3
30	3	2018	7.1
29	3	2018	6.2
28	3	2018	0.0
27	3	2018	0.0
26	3	2018	0.0
25	3	2018	16.2
24	3	2018	0.0
23	3	2018	0.0
22	3	2018	0.0
21	3	2018	0.0
20	3	2018	0.0
19	3	2018	0.0
18	3	2018	4.0
17	3	2018	0.0
16	3	2018	
15	3	2018	
14	3	2018	0.0
13	3	2018	12.1
12	3	2018	0.0
11	3	2018	8.4
10	3	2018	0.0
9	3	2018	0.0
8	3	2018	33.0
7	3	2018	0.0
6	3	2018	0.0
5	3	2018	0.0
4	3	2018	0.0
3	3	2018	0.0
2	3	2018	0.0
1	3	2018	0.0
28	2	2018	0.0
27	2	2018	7.9
26	2	2018	23.7
25	2	2018	12.0
24	2	2018	0.0
23	2	2018	0.0
22	2	2018	0.0
21	2	2018	0.0
20	2	2018	0.0
19	2	2018	0.0
18	2	2018	4.0
17	2	2018	0.0
16	2	2018	7.4
15	2	2018	2.7
14	2	2018	0.0
13	2	2018	0.0
12	2	2018	0.0
11	2	2018	0.0
10	2	2018	4.1
9	2	2018	50.5
8	2	2018	0.0
7	2	2018	0.0
6	2	2018	0.0
5	2	2018	2.0
4	2	2018	29.3
3	2	2018	2.1
2	2	2018	0.0
1	2	2018	0.0
31	1	2018	0.0
30	1	2018	0.0
29	1	2018	0.0
28	1	2018	0.0
27	1	2018	0.0
26	1	2018	0.0
25	1	2018	0.0
24	1	2018	0.0
23	1	2018	0.0
22	1	2018	0.0
21	1	2018	0.0
20	1	2018	0.0
19	1	2018	0.0
18	1	2018	0.0
17	1	2018	0.0
16	1	2018	0.0
15	1	2018	0.0
14	1	2018	0.0
13	1	2018	0.0
12	1	2018	0.0
11	1	2018	0.0
10	1	2018	2.8
9	1	2018	3.0
8	1	2018	0.0
7	1	2018	0.0
6	1	2018	0.0
5	1	2018	0.0
4	1	2018	0.0
3	1	2018	0.0
2	1	2018	0.0
1	1	2018	0.0
31	12	2017	0.0
30	12	2017	0.0
29	12	2017	0.0
28	12	2017	0.0
27	12	2017	0.0
26	12	2017	0.0
25	12	2017	0.0
24	12	2017	0.0
23	12	2017	0.0
22	12	2017	0.0
21	12	2017	0.0
20	12	2017	0.0
19	12	2017	7.8
18	12	2017	13.7
17	12	2017	4.5
16	12	2017	0.0
15	12	2017	0.0
14	12	2017	3.5
13	12	2017	60.0
12	12	2017	9.8
11	12	2017	0.0
10	12	2017	0.0
9	12	2017	3.1
8	12	2017	0.0
7	12	2017	14.2
6	12	2017	0.0
5	12	2017	0.0
4	12	2017	0.0
3	12	2017	0.0
2	12	2017	0.0
1	12	2017	0.0
30	11	2017	0.0
29	11	2017	0.0
28	11	2017	0.0
27	11	2017	0.0
26	11	2017	0.0
25	11	2017	0.0
24	11	2017	0.0
23	11	2017	0.0
22	11	2017	0.0
21	11	2017	0.0
20	11	2017	0.0
19	11	2017	0.0
18	11	2017	0.0
17	11	2017	12.6
16	11	2017	0.0
15	11	2017	0.0
14	11	2017	30.0
13	11	2017	0.0
12	11	2017	32.0
11	11	2017	0.0
10	11	2017	0.0
9	11	2017	0.0
8	11	2017	0.0
7	11	2017	0.0
6	11	2017	0.0
5	11	2017	0.0
4	11	2017	22.3
3	11	2017	0.0
2	11	2017	0.0
1	11	2017	0.0
31	10	2017	0.0
30	10	2017	0.0
29	10	2017	0.0
28	10	2017	0.0
27	10	2017	0.0
26	10	2017	0.0
25	10	2017	0.0
24	10	2017	0.0
23	10	2017	0.0
22	10	2017	0.0
21	10	2017	0.0
20	10	2017	0.0
19	10	2017	0.0
18	10	2017	0.0
17	10	2017	0.0
16	10	2017	0.0
15	10	2017	0.0
14	10	2017	0.0
13	10	2017	0.0
12	10	2017	0.0
11	10	2017	0.0
10	10	2017	0.0
9	10	2017	0.6
8	10	2017	0.0
7	10	2017	0.0
6	10	2017	2.8
5	10	2017	0.0
4	10	2017	0.0
3	10	2017	0.0
2	10	2017	0.0
1	10	2017	0.0
30	9	2017	0.0
29	9	2017	0.0
28	9	2017	0.7
27	9	2017	10.0
26	9	2017	0.0
25	9	2017	0.0
24	9	2017	0.0
23	9	2017	2.5
22	9	2017	0.0
21	9	2017	1.3
20	9	2017	0.0
19	9	2017	7.2
18	9	2017	0.0
17	9	2017	0.0
16	9	2017	0.0
15	9	2017	0.0
14	9	2017	9.2
13	9	2017	11.6
12	9	2017	2.8
11	9	2017	2.1
10	9	2017	0.0
9	9	2017	0.0
8	9	2017	0.0
7	9	2017	0.0
6	9	2017	0.0
5	9	2017	2.2
4	9	2017	0.0
3	9	2017	2.7
2	9	2017	0.0
1	9	2017	0.0
31	8	2017	0.0
30	8	2017	0.0
29	8	2017	0.0
28	8	2017	0.0
27	8	2017	0.0
26	8	2017	0.0
25	8	2017	0.0
24	8	2017	22.1
23	8	2017	8.0
22	8	2017	4.0
21	8	2017	0.0
20	8	2017	0.0
19	8	2017	0.0
18	8	2017	0.0
17	8	2017	0.0
16	8	2017	0.0
15	8	2017	0.0
14	8	2017	0.0
13	8	2017	0.0
12	8	2017	0.0
11	8	2017	0.0
10	8	2017	0.0
9	8	2017	0.0
8	8	2017	0.0
7	8	2017	0.0
6	8	2017	0.0
5	8	2017	0.0
4	8	2017	0.0
3	8	2017	0.0
2	8	2017	5.2
1	8	2017	0.0
31	7	2017	3.1
30	7	2017	5.1
29	7	2017	4.8
28	7	2017	8.3
27	7	2017	0.0
26	7	2017	0.0
25	7	2017	8.4
24	7	2017	0.0
23	7	2017	0.0
22	7	2017	0.0
21	7	2017	0.0
20	7	2017	0.0
19	7	2017	0.0
18	7	2017	2.9
17	7	2017	17.2
16	7	2017	0.0
15	7	2017	4.0
14	7	2017	0.0
13	7	2017	10.7
12	7	2017	0.0
11	7	2017	2.2
10	7	2017	0.0
9	7	2017	24.1
8	7	2017	3.6
7	7	2017	2.1
6	7	2017	6.5
5	7	2017	0.0
4	7	2017	0.0
3	7	2017	0.0
2	7	2017	0.0
1	7	2017	1.0
30	6	2017	0.0
29	6	2017	6.6
28	6	2017	20.0
27	6	2017	0.0
26	6	2017	2.0
25	6	2017	1.8
24	6	2017	13.5
23	6	2017	8.5
22	6	2017	0.0
21	6	2017	0.0
20	6	2017	0.0
19	6	2017	0.0
18	6	2017	0.0
17	6	2017	0.0
16	6	2017	0.0
15	6	2017	0.0
14	6	2017	0.0
13	6	2017	0.0
12	6	2017	0.0
11	6	2017	0.0
10	6	2017	0.0
9	6	2017	0.0
8	6	2017	1.0
7	6	2017	2.0
6	6	2017	0.0
5	6	2017	7.8
4	6	2017	1.0
3	6	2017	0.0
2	6	2017	0.0
1	6	2017	0.0
31	5	2017	0.0
30	5	2017	0.0
29	5	2017	0.0
28	5	2017	11.7
27	5	2017	0.0
26	5	2017	0.0
25	5	2017	0.0
24	5	2017	0.0
23	5	2017	5.0
22	5	2017	11.1
21	5	2017	0.0
20	5	2017	0.0
19	5	2017	0.0
18	5	2017	0.8
17	5	2017	8.5
16	5	2017	0.0
15	5	2017	0.0
14	5	2017	0.0
13	5	2017	0.0
12	5	2017	0.0
11	5	2017	0.0
10	5	2017	0.0
9	5	2017	0.0
8	5	2017	0.0
7	5	2017	0.0
6	5	2017	0.0
5	5	2017	2.0
4	5	2017	0.0
3	5	2017	12.2
2	5	2017	6.4
1	5	2017	3.9
30	4	2017	6.7
29	4	2017	0.0
28	4	2017	0.0
27	4	2017	0.0
26	4	2017	4.7
25	4	2017	8.2
24	4	2017	1.0
23	4	2017	0.0
22	4	2017	0.0
21	4	2017	0.0
20	4	2017	0.0
19	4	2017	0.0
18	4	2017	0.0
17	4	2017	0.0
16	4	2017	0.0
15	4	2017	0.0
14	4	2017	0.0
13	4	2017	0.0
12	4	2017	8.5
11	4	2017	0.0
10	4	2017	6.2
9	4	2017	0.0
8	4	2017	0.0
7	4	2017	0.0
6	4	2017	0.0
5	4	2017	0.0
4	4	2017	0.0
3	4	2017	0.0
2	4	2017	2.5
1	4	2017	0.7
31	3	2017	3.5
30	3	2017	4.6
29	3	2017	26.9
28	3	2017	3.0
27	3	2017	0.0
26	3	2017	0.0
25	3	2017	0.0
24	3	2017	0.0
23	3	2017	0.0
22	3	2017	0.0
21	3	2017	0.0
20	3	2017	0.0
19	3	2017	0.0
18	3	2017	0.0
17	3	2017	2.5
16	3	2017	0.0
15	3	2017	5.2
14	3	2017	0.0
13	3	2017	0.0
12	3	2017	0.0
11	3	2017	0.0
10	3	2017	0.5
9	3	2017	0.0
8	3	2017	0.0
7	3	2017	0.0
6	3	2017	0.0
5	3	2017	0.0
4	3	2017	0.0
3	3	2017	0.0
2	3	2017	0.0
1	3	2017	1.8
28	2	2017	0.0
27	2	2017	0.0
26	2	2017	0.0
25	2	2017	0.0
24	2	2017	7.7
23	2	2017	2.8
22	2	2017	12.8
21	2	2017	31.0
20	2	2017	2.0
19	2	2017	1.8
18	2	2017	0.0
17	2	2017	14.6
16	2	2017	5.8
15	2	2017	0.0
14	2	2017	0.0
13	2	2017	4.8
12	2	2017	0.0
11	2	2017	0.0
10	2	2017	11.5
9	2	2017	41.0
8	2	2017	18.0
7	2	2017	0.0
6	2	2017	0.0
5	2	2017	0.0
4	2	2017	0.0
3	2	2017	0.0
2	2	2017	0.0
1	2	2017	0.0
31	1	2017	0.0
30	1	2017	9.0
29	1	2017	0.0
28	1	2017	0.0
27	1	2017	0.0
26	1	2017	0.0
25	1	2017	0.0
24	1	2017	0.0
23	1	2017	0.0
22	1	2017	0.0
21	1	2017	0.0
20	1	2017	0.0
19	1	2017	0.0
18	1	2017	0.0
17	1	2017	0.0
16	1	2017	0.0
15	1	2017	0.0
14	1	2017	0.0
13	1	2017	0.0
12	1	2017	0.0
11	1	2017	0.0
10	1	2017	0.0
9	1	2017	0.0
8	1	2017	0.0
7	1	2017	0.0
6	1	2017	0.0
5	1	2017	2.3
4	1	2017	0.0
3	1	2017	0.0
2	1	2017	0.0
1	1	2017	2.0
31	12	2016	0.0
30	12	2016	0.0
29	12	2016	0.0
28	12	2016	0.0
27	12	2016	0.0
26	12	2016	0.0
25	12	2016	0.0
24	12	2016	0.0
23	12	2016	4.0
22	12	2016	0.1
21	12	2016	18.9
20	12	2016	18.0
19	12	2016	0.0
18	12	2016	2.7
17	12	2016	0.0
16	12	2016	0.0
15	12	2016	0.0
14	12	2016	0.0
13	12	2016	0.0
12	12	2016	27.0
11	12	2016	0.0
10	12	2016	0.0
9	12	2016	0.0
8	12	2016	0.0
7	12	2016	0.0
6	12	2016	0.0
5	12	2016	3.0
4	12	2016	0.0
3	12	2016	0.0
2	12	2016	0.0
1	12	2016	3.2
30	11	2016	0.0
29	11	2016	1.3
28	11	2016	11.5
27	11	2016	0.0
26	11	2016	0.0
25	11	2016	0.0
24	11	2016	0.0
23	11	2016	0.0
22	11	2016	1.0
21	11	2016	2.0
20	11	2016	12.0
19	11	2016	24.3
18	11	2016	0.0
17	11	2016	34.0
16	11	2016	6.0
15	11	2016	11.2
14	11	2016	12.0
13	11	2016	0.0
12	11	2016	0.0
11	11	2016	0.0
10	11	2016	0.0
9	11	2016	12.0
8	11	2016	26.0
7	11	2016	0.0
6	11	2016	0.0
5	11	2016	0.0
4	11	2016	10.2
3	11	2016	0.0
2	11	2016	0.0
1	11	2016	26.1
31	10	2016	2.0
30	10	2016	0.0
29	10	2016	0.0
28	10	2016	0.0
27	10	2016	0.0
26	10	2016	0.0
25	10	2016	0.0
24	10	2016	0.0
23	10	2016	0.0
22	10	2016	0.0
21	10	2016	0.0
20	10	2016	0.0
19	10	2016	0.0
18	10	2016	0.0
17	10	2016	0.0
16	10	2016	0.0
15	10	2016	0.0
14	10	2016	0.0
13	10	2016	33.1
12	10	2016	7.5
11	10	2016	15.3
10	10	2016	0.0
9	10	2016	0.0
8	10	2016	0.0
7	10	2016	35.5
6	10	2016	41.2
5	10	2016	2.0
4	10	2016	4.0
3	10	2016	1.0
2	10	2016	0.0
1	10	2016	0.0
30	9	2016	0.0
29	9	2016	0.0
28	9	2016	15.7
27	9	2016	23.2
26	9	2016	0.0
25	9	2016	0.0
24	9	2016	0.0
23	9	2016	0.0
22	9	2016	0.0
21	9	2016	0.0
20	9	2016	0.0
19	9	2016	0.0
18	9	2016	0.0
17	9	2016	0.0
16	9	2016	0.0
15	9	2016	0.0
14	9	2016	0.0
13	9	2016	0.0
12	9	2016	0.0
11	9	2016	0.0
10	9	2016	0.5
9	9	2016	0.0
8	9	2016	0.0
7	9	2016	0.0
6	9	2016	0.0
5	9	2016	0.0
4	9	2016	0.0
3	9	2016	0.0
2	9	2016	0.0
1	9	2016	0.0
31	8	2016	0.0
30	8	2016	3.0
29	8	2016	0.0
28	8	2016	0.0
27	8	2016	0.0
26	8	2016	0.0
25	8	2016	0.0
24	8	2016	0.0
23	8	2016	0.0
22	8	2016	0.0
21	8	2016	0.0
20	8	2016	0.0
19	8	2016	0.0
18	8	2016	0.0
17	8	2016	0.0
16	8	2016	0.0
15	8	2016	0.0
14	8	2016	0.0
13	8	2016	0.0
12	8	2016	0.0
11	8	2016	0.0
10	8	2016	0.0
9	8	2016	0.0
8	8	2016	0.0
7	8	2016	0.0
6	8	2016	0.0
5	8	2016	0.0
4	8	2016	15.8
3	8	2016	8.7
2	8	2016	8.1
1	8	2016	0.7
31	7	2016	11.2
30	7	2016	1.0
29	7	2016	2.2
28	7	2016	0.0
27	7	2016	1.2
26	7	2016	10.7
25	7	2016	7.8
24	7	2016	0.0
23	7	2016	0.0
22	7	2016	0.0
21	7	2016	2.2
20	7	2016	0.0
19	7	2016	0.0
18	7	2016	0.0
17	7	2016	0.0
16	7	2016	0.0
15	7	2016	0.0
14	7	2016	0.0
13	7	2016	0.0
12	7	2016	0.0
11	7	2016	0.0
10	7	2016	0.0
9	7	2016	0.0
8	7	2016	0.0
7	7	2016	0.0
6	7	2016	2.0
5	7	2016	7.4
4	7	2016	21.6
3	7	2016	0.0
2	7	2016	5.7
1	7	2016	1.5
30	6	2016	8.5
29	6	2016	3.3
28	6	2016	0.0
27	6	2016	0.0
26	6	2016	0.0
25	6	2016	3.4
24	6	2016	0.0
23	6	2016	0.0
22	6	2016	0.0
21	6	2016	0.0
20	6	2016	8.3
19	6	2016	0.0
18	6	2016	0.0
17	6	2016	0.0
16	6	2016	0.0
15	6	2016	0.0
14	6	2016	0.0
13	6	2016	0.0
12	6	2016	6.5
11	6	2016	0.0
10	6	2016	0.0
9	6	2016	0.0
8	6	2016	0.0
7	6	2016	0.0
6	6	2016	0.0
5	6	2016	0.0
4	6	2016	0.0
3	6	2016	0.0
2	6	2016	0.0
1	6	2016	0.0
31	5	2016	0.0
30	5	2016	0.0
29	5	2016	0.0
28	5	2016	0.0
27	5	2016	0.0
26	5	2016	0.0
25	5	2016	0.0
24	5	2016	0.0
23	5	2016	0.0
22	5	2016	0.0
21	5	2016	0.0
20	5	2016	0.0
19	5	2016	0.0
18	5	2016	0.0
17	5	2016	0.0
16	5	2016	0.0
15	5	2016	0.0
14	5	2016	0.0
13	5	2016	0.0
12	5	2016	0.0
11	5	2016	0.0
10	5	2016	0.0
9	5	2016	0.0
8	5	2016	0.0
7	5	2016	0.0
6	5	2016	0.0
5	5	2016	0.0
4	5	2016	0.0
3	5	2016	0.0
2	5	2016	0.0
1	5	2016	0.0
30	4	2016	5.1
29	4	2016	0.0
28	4	2016	0.0
27	4	2016	0.0
26	4	2016	0.0
25	4	2016	0.0
24	4	2016	0.0
23	4	2016	0.0
22	4	2016	0.0
21	4	2016	3.5
20	4	2016	0.0
19	4	2016	1.6
18	4	2016	0.0
17	4	2016	1.7
16	4	2016	0.0
15	4	2016	0.0
14	4	2016	0.0
13	4	2016	13.1
12	4	2016	0.0
11	4	2016	0.0
10	4	2016	0.0
9	4	2016	0.0
8	4	2016	0.0
7	4	2016	0.0
6	4	2016	0.0
5	4	2016	0.0
4	4	2016	0.0
3	4	2016	0.0
2	4	2016	0.0
1	4	2016	0.0
31	3	2016	0.0
30	3	2016	0.0
29	3	2016	0.0
28	3	2016	0.0
27	3	2016	0.0
26	3	2016	0.0
25	3	2016	0.0
24	3	2016	0.0
23	3	2016	0.0
22	3	2016	0.0
21	3	2016	0.0
20	3	2016	0.0
19	3	2016	0.0
18	3	2016	0.0
17	3	2016	0.0
16	3	2016	19.3
15	3	2016	0.9
14	3	2016	0.0
13	3	2016	0.0
12	3	2016	0.0
11	3	2016	0.0
10	3	2016	1.0
9	3	2016	0.0
8	3	2016	0.0
7	3	2016	0.0
6	3	2016	0.0
5	3	2016	0.0
4	3	2016	0.0
3	3	2016	0.0
2	3	2016	0.0
1	3	2016	0.0
29	2	2016	0.0
28	2	2016	0.0
27	2	2016	0.0
26	2	2016	0.0
25	2	2016	0.0
24	2	2016	0.0
23	2	2016	0.0
22	2	2016	0.0
21	2	2016	0.0
20	2	2016	0.0
19	2	2016	0.0
18	2	2016	0.0
17	2	2016	0.0
16	2	2016	0.0
15	2	2016	0.0
14	2	2016	0.0
13	2	2016	0.0
12	2	2016	0.0
11	2	2016	0.0
10	2	2016	0.0
9	2	2016	0.0
8	2	2016	0.0
7	2	2016	0.0
6	2	2016	0.0
5	2	2016	0.0
4	2	2016	7.3
3	2	2016	0.0
2	2	2016	0.0
1	2	2016	0.0
31	1	2016	0.0
30	1	2016	0.0
29	1	2016	0.0
28	1	2016	0.0
27	1	2016	0.0
26	1	2016	0.0
25	1	2016	47.0
24	1	2016	7.9
23	1	2016	96.3
22	1	2016	15.0
21	1	2016	11.0
20	1	2016	0.0
19	1	2016	0.0
18	1	2016	25.1
17	1	2016	23.8
16	1	2016	0.0
15	1	2016	0.0
14	1	2016	7.0
